행정구역,2019년1월_남자 인구수,2019년2월_남자 인구수,2019년3월_남자 인구수,2019년4월_남자 인구수,2019년5월_남자 인구수,2019년6월_남자 인구수,2019년7월_남자 인구수,2019년8월_남자 인구수,2019년9월_남자 인구수,2019년10월_남자 인구수,2019년11월_남자 인구수,2019년12월_남자 인구수,위도,경도
인천광역시 연수구,173601,174402,174813,175363,176175,176907,177838,179159,180294,181341,181890,182374,37.41037273,126.678298
인천광역시 남동구,267007,266634,266743,266929,266833,266522,266229,265735,265409,265018,264996,264955,37.44725267,126.7314723
인천광역시 부평구,259551,258890,258365,257773,257152,256707,256128,255500,255039,254365,253870,253338,37.50724197,126.7218691
인천광역시 계양구,155662,155100,154605,154156,153807,153526,153155,152824,152561,152245,151905,151569,37.53757116,126.7377225
인천광역시 서구,272640,273191,273542,273958,274209,274318,274307,274319,274336,274474,274801,274942,37.54548073,126.6760045
인천광역시 강화군,34549,34581,34566,34612,34610,34598,34658,34669,34666,34669,34668,34665,37.74685272,126.4878739
인천광역시 옹진군,11951,11826,11816,11815,11766,11702,11721,11727,11744,11743,11736,11678,37.44668379,126.6368011
광주광역시 동구,46889,46814,46733,46980,47207,47472,48008,48453,48644,48778,48841,48799,35.14615419,126.9231381
광주광역시 서구,149532,149226,148878,148691,148538,148410,148270,148094,148084,148128,147988,147671,35.15217985,126.8899468
광주광역시 남구,104477,104888,105027,105030,104995,105136,105181,105182,105125,105116,105191,105027,35.13321296,126.9022115
광주광역시 북구,218349,218032,217688,217206,216800,216521,216364,216079,216137,216039,215838,215260,35.17438289,126.9121844
광주광역시 광산구,203655,203729,204185,204588,204991,205020,204978,204800,204605,204387,204310,203983,35.13977662,126.7937594
대전광역시 동구,115733,115796,115941,115899,115828,115768,115575,115504,115396,115104,114788,114447,36.31203163,127.4548059
대전광역시 중구,120819,120639,120466,120323,120270,120189,120068,119816,119550,119445,119113,118864,36.32576074,127.4213595
대전광역시 서구,238627,238328,238061,237719,237513,237233,237383,237340,237383,237292,237148,236851,36.35552081,127.3838132
대전광역시 유성구,176434,176408,176431,176534,176505,176461,176235,176181,176136,176143,176335,176415,36.36246979,127.3561992
대전광역시 대덕구,92238,91964,91748,91620,91388,91183,90966,90754,90645,90416,90223,90030,36.34692581,127.4155614
울산광역시 중구,117573,117074,116476,115845,115444,115172,114917,114617,114360,114110,113876,113526,35.56970355,129.3327733
울산광역시 남구,168380,168092,167572,167129,166866,166569,166090,165732,165488,165323,165100,165062,35.54394782,129.330126
울산광역시 동구,85854,85492,85184,84917,84729,84522,84343,84187,84039,83827,83617,83391,35.50516123,129.4167348
울산광역시 북구,107153,107716,108543,109491,109995,110430,110828,111192,111457,111824,112336,112588,35.582905,129.3612179
울산광역시 울주군,114476,114479,114587,114655,114656,114756,114983,115161,115275,115248,115169,115145,35.52252665,129.2425116
세종특별자치시 세종특별자치시,158090,159860,161056,161944,162578,163528,164832,165740,166548,167810,168916,169845,36.48045322,127.2892442
경기도 수원시,604383,604076,604349,603839,603426,603047,602650,601973,602477,601900,601697,601410,37.26355925,127.0285973
경기도 성남시,471956,471470,470796,470051,469736,469325,468589,468086,467683,467031,466737,466644,37.42022748,127.1266546
경기도 의정부시,221006,221316,221565,221796,221978,222135,222289,222583,222617,222605,222627,222590,37.73825019,127.033733
경기도 안양시,285185,284666,284123,283958,283867,283570,283185,282861,282458,282129,281682,280652,37.39453744,126.9568463
경기도 부천시,419423,418415,417600,416860,416354,416046,415373,414815,414250,413450,412895,412500,37.50375321,126.7658326
경기도 광명시,161524,161221,160659,159997,159439,158925,158524,158133,157759,157157,156721,156405,37.47867555,126.8646736
경기도 평택시,254764,255766,256654,257342,257863,258217,259229,260106,261089,262086,263039,264012,36.99245752,127.112695
경기도 동두천시,47887,47822,47658,47567,47492,47512,47459,47399,47332,47335,47278,47308,37.90370032,127.061145
경기도 안산시,338449,338153,337952,337465,337101,336920,336925,336414,335716,334753,334206,333766,37.32203062,126.8308388
경기도 고양시,512223,511917,512152,512768,513309,513781,515498,517685,519410,520659,521818,522749,37.65830361,126.832016
경기도 과천시,28470,28519,28524,28516,28481,28458,28469,28457,28494,28482,28541,28638,37.42927348,126.9875979
경기도 구리시,100867,100625,100439,100291,100174,99980,99821,99430,99123,98926,98985,98968,37.5944714,127.1297639
경기도 남양주시,340422,341356,342020,342750,343389,344481,345828,347547,348496,349141,349286,349664,37.61055247,127.1711945
경기도 오산시,113310,113417,113557,113460,113548,113626,113583,114441,115127,115730,116401,116904,37.14993516,127.0770233
경기도 시흥시,236156,237996,239535,240657,241804,242805,243581,244379,245091,246360,247082,247804,37.38014281,126.8028693
경기도 군포시,137402,137076,136824,136598,136404,136378,136174,136165,136269,136439,136666,136878,37.36160744,126.9352653
경기도 의왕시,76931,77282,77943,78391,78950,79256,79560,79738,79838,79833,79843,80353,37.34496964,126.9687218
경기도 하남시,129000,130284,131231,131949,132511,133022,133846,134903,135623,136052,136553,136985,37.53923662,127.2145653
경기도 용인시,515145,515741,516135,517714,519803,521287,523068,524485,524635,525254,525224,525946,37.24071642,127.177274
경기도 파주시,229604,229915,229975,230009,230127,230304,230341,230315,230236,230435,230527,230461,37.75946605,126.7803264
경기도 이천시,110186,110303,110280,110565,110735,111013,111273,111533,111556,111621,111215,111244,37.27224558,127.435023
경기도 안성시,94127,94189,94158,94185,94487,94734,94695,94647,94581,94482,94287,94227,37.00786318,127.2798342
경기도 김포시,213624,214769,215270,215786,216422,216996,217423,217759,218050,218504,218919,219552,37.61533178,126.7154295
