행정구역,2020년1월_총인구수,2020년2월_총인구수,2020년3월_총인구수,2020년4월_총인구수,2020년5월_총인구수,2020년6월_총인구수,2020년7월_총인구수,2020년8월_총인구수,2020년9월_총인구수,2020년10월_총인구수,2020년11월_총인구수,2020년12월_총인구수,위도,경도
공주시,106294,106098,105895,105743,105611,105440,105396,105353,105192,104972,104736,104545,36.44652532,127.1190088
보령시,100908,100836,100787,100646,100602,100647,100601,100538,100415,100336,100249,100229,36.33347359,126.6127756
아산시,314238,313875,313733,313757,313761,313054,313319,313871,314282,314552,315279,316129,36.78992729,127.0024922
서산시,174663,174596,174629,174645,174801,174884,175124,175272,175330,175426,175487,175591,36.78478317,126.4503368
논산시,118781,118513,118266,118032,117812,117696,117520,117340,117226,117030,116888,116675,36.18720384,127.0986769
계룡시,42735,42648,42663,42757,42696,42803,42772,42802,42811,42767,42848,42822,36.27450688,127.2485308
당진시,166815,166551,166253,166136,166098,166084,166057,166067,165991,166073,166145,166249,36.88959597,126.6460108
금산군,52120,51969,51904,51781,51746,51665,51696,51641,51563,51476,51443,51413,36.10885289,127.4880279
부여군,66676,66548,66353,66214,66086,65919,65844,65723,65613,65528,65431,65354,36.27567229,126.9097853
서천군,52702,52582,52494,52374,52247,52209,52223,52137,52026,51933,51926,51866,36.08030449,126.6918535
청양군,31577,31385,31245,31139,31034,30994,30950,30863,30797,30823,30816,30948,36.45914434,126.8023368
홍성군,100347,100245,100063,99973,100013,99980,100020,99984,99909,99844,99890,100102,36.60131617,126.6608455
예산군,79126,78915,78881,78726,78618,78610,78609,78420,78370,78286,78146,78084,36.68088766,126.844815
태안군,62628,62418,62324,62283,62193,62272,62281,62296,62364,62390,62346,62214,36.74555213,126.2979723
전주시,654963,655447,655519,655713,655607,655472,655784,656149,656688,657185,657745,657432,35.82445746,127.1478665
전주시완산구,338977,339281,339291,338965,338482,338697,339317,339695,339975,339877,339973,339718,35.81213395,127.1198
전주시덕진구,315986,316166,316228,316748,317125,316775,316467,316454,316713,317308,317772,317714,35.82932986,127.1342
