행정구역,2019년1월_여자 인구수,2019년2월_여자 인구수,2019년3월_여자 인구수,2019년4월_여자 인구수,2019년5월_여자 인구수,2019년6월_여자 인구수,2019년7월_여자 인구수,2019년8월_여자 인구수,2019년9월_여자 인구수,2019년10월_여자 인구수,2019년11월_여자 인구수,2019년12월_여자 인구수,위도,경도
전라북도 김제시,42925,42842,42797,42711,42660,42641,42592,42524,42477,42394,42347,42271,35.80330016,126.8807361
전라북도 완주군,45921,45714,45542,45474,45400,45361,45286,45238,45093,45025,44999,44930,35.90482498,127.1620039
전라북도 진안군,12914,12903,12888,12859,12819,12799,12779,12775,12768,12725,12704,12731,35.79178512,127.4245692
전라북도 무주군,12355,12322,12308,12286,12260,12240,12242,12244,12245,12209,12208,12213,36.0067837,127.6607417
전라북도 장수군,11660,11527,11494,11476,11426,11420,11405,11386,11344,11319,11294,11276,35.64729167,127.521172
전라북도 임실군,14302,14155,14092,14037,13995,13959,13938,13906,13877,13823,14022,14243,35.61778264,127.2890493
전라북도 순창군,15001,14982,14943,14928,14888,14870,14830,14766,14715,14672,14639,14626,35.37443426,127.1374233
전라북도 고창군,28802,28729,28572,28531,28492,28440,28392,28329,28263,28245,28165,28086,35.43577681,126.7020803
전라북도 부안군,27313,27224,27224,27185,27097,27050,27038,26981,26932,26865,26864,26822,35.73178215,126.7333099
전라남도 목포시,116356,116174,116058,115912,115807,115821,115669,115511,115427,115439,115363,115296,34.81181045,126.3921426
전라남도 여수시,139376,139228,139163,139173,139292,139122,139017,138887,138815,138707,139123,138995,34.76039685,127.6622222
전라남도 순천시,140621,140749,140718,140662,140594,140770,140864,140905,141051,141227,141063,140274,34.95062457,127.48737
전라남도 나주시,56732,56932,57048,57107,57067,56991,56969,56934,56912,56938,56975,56996,35.0158853,126.7108524
전라남도 광양시,74198,73632,73418,73314,73228,73147,73082,72992,72844,72746,72970,75385,34.94070146,127.6958891
전라남도 담양군,23130,23076,22992,22996,22937,22889,22845,22840,22788,22773,22771,22816,35.32122516,126.9881958
전라남도 곡성군,15187,15121,15204,15165,15108,15075,15031,14970,14922,14877,14841,14773,35.2820633,127.2920961
전라남도 구례군,13779,13678,13646,13605,13551,13523,13451,13424,13412,13404,13428,13639,35.20250131,127.4627157
전라남도 고흥군,33972,33992,33902,33861,33812,33781,33749,33696,33649,33610,33535,33468,34.60477493,127.2762856
전라남도 보성군,22038,21971,21912,21820,21812,21763,21716,21627,21541,21481,21416,21357,34.77147634,127.079973
전라남도 화순군,32278,32277,32249,32223,32180,32100,31945,31858,31828,31772,31720,31676,35.06454988,126.9866674
전라남도 장흥군,20190,20141,20105,20069,20077,20045,20027,19994,19943,19960,19931,19873,34.68163168,126.9071449
전라남도 강진군,18721,18645,18618,18598,18558,18522,18503,18467,18440,18432,18409,18342,34.64205355,126.7672373
전라남도 해남군,36500,36371,36329,36248,36202,36173,36100,36001,35902,35839,35799,35712,34.57338485,126.5992923
전라남도 영암군,26572,26502,26453,26430,26447,26397,26451,26565,26595,26609,26563,26566,34.80016406,126.6967832
전라남도 무안군,40927,40815,40745,40771,40684,40622,40609,40538,40508,40488,40500,40446,34.99040352,126.481689
전라남도 함평군,16734,16665,16632,16579,16591,16561,16545,16527,16541,16509,16487,16457,35.06589788,126.5165996
전라남도 영광군,27120,27106,27133,27126,27098,27095,27102,27081,27068,27070,27055,27024,35.27718056,126.5119711
전라남도 장성군,22522,22506,22439,22438,22364,22398,22316,22259,22250,22218,22238,22250,35.3018382,126.7849389
전라남도 완도군,25602,25555,25528,25525,25505,25482,25465,25445,25365,25317,25269,25232,34.31099974,126.7549467
전라남도 진도군,15864,15839,15828,15796,15759,15761,15738,15720,15691,15647,15631,15622,34.48679563,126.2634295
전라남도 신안군,19297,19263,19231,19207,19164,19120,19121,19088,19059,18983,18927,18872,34.83357423,126.3514524
경상북도 포항시,252174,251998,251860,251833,251697,251597,251546,251439,251254,251195,251095,250885,36.01937542,129.3433639
경상북도 경주시,127977,127937,127822,127861,127766,127740,127619,127497,127458,127447,127485,127474,35.85626282,129.2248116
경상북도 김천시,70381,70351,70485,70522,70572,70608,70551,70564,70559,70564,70500,70486,36.13983232,128.1135643
경상북도 안동시,81700,81547,81325,81205,81064,81085,80957,80893,80852,80894,80854,80813,36.56831833,128.7295868
경상북도 구미시,205431,205228,205027,204953,204983,204962,204894,204873,204788,204799,204741,204534,36.1198418,128.3443068
경상북도 영주시,53752,53637,53579,53496,53391,53305,53241,53206,53149,53115,53067,53007,36.80565236,128.6238768
경상북도 영천시,49968,49917,49970,50017,50202,50331,50282,50249,50322,50299,50334,50370,35.97349135,128.9382431
경상북도 상주시,51109,50973,51026,50999,50936,50848,50778,50765,50729,50716,50773,51310,36.41095303,128.1589549
경상북도 문경시,36671,36643,36720,36718,36694,36878,36807,36785,36748,36715,36716,36851,36.58683084,128.1870005
경상북도 경산시,129569,129558,129560,129522,129677,129948,130129,130260,130315,130350,130509,130569,35.82511073,128.741326
경상북도 군위군,11682,11642,11621,11599,11587,11564,11577,11584,11598,11588,11616,11677,36.24293664,128.5728369
경상북도 의성군,27069,27006,26987,26945,26939,26907,26883,26873,26894,26857,26864,26875,36.35271338,128.6971422
경상북도 청송군,12934,12908,12887,12877,12841,12826,12802,12762,12762,12754,12755,12722,36.43628135,129.0569723
경상북도 영양군,8751,8707,8698,8700,8679,8669,8646,8617,8608,8597,8605,8574,36.66667945,129.1122616
경상북도 영덕군,19965,19893,19878,19861,19813,19774,19757,19730,19714,19689,19641,19584,36.41501475,129.3656654
경상북도 청도군,21923,21918,21918,21935,21912,21912,21890,21870,21836,21842,21853,21845,35.64740052,128.733963
경상북도 고령군,16109,16080,16081,16043,16002,15974,15964,15933,15894,15863,15819,15825,35.72611222,128.2629519
경상북도 성주군,21559,21509,21493,21473,21419,21378,21366,21331,21303,21256,21219,21299,35.91943449,128.2831702
경상북도 칠곡군,56864,56816,56756,56649,56527,56425,56398,56332,56265,56235,56173,55984,35.99558435,128.4016028
경상북도 예천군,27197,27302,27483,27640,27752,27774,27853,27925,27976,27980,28026,28068,36.64687138,128.4372484
경상북도 봉화군,16370,16322,16279,16263,16249,16224,16195,16143,16131,16091,16081,16004,36.8930961,128.7323988
경상북도 울진군,24998,24903,24881,24842,24828,24818,24795,24769,24734,24723,24687,24656,36.99308703,129.4004941
경상북도 울릉군,4460,4448,4445,4436,4459,4481,4490,4475,4450,4429,4400,4387,37.48434523,130.9057502
