행정구역,2019년01월_총인구수,2019년01월_남자 인구수,2019년01월_여자 인구수,2019년02월_총인구수,2019년02월_남자 인구수,2019년02월_여자 인구수,2019년03월_총인구수,2019년03월_남자 인구수,2019년03월_여자 인구수,2019년04월_총인구수,2019년04월_남자 인구수,2019년04월_여자 인구수,2019년05월_총인구수,2019년05월_남자 인구수,2019년05월_여자 인구수,2019년06월_총인구수,2019년06월_남자 인구수,2019년06월_여자 인구수,2019년07월_총인구수,2019년07월_남자 인구수,2019년07월_여자 인구수,2019년08월_총인구수,2019년08월_남자 인구수,2019년08월_여자 인구수,2019년09월_총인구수,2019년09월_남자 인구수,2019년09월_여자 인구수,2019년10월_총인구수,2019년10월_남자 인구수,2019년10월_여자 인구수,2019년11월_총인구수,2019년11월_남자 인구수,2019년11월_여자 인구수,2019년12월_총인구수,2019년12월_남자 인구수,2019년12월_여자 인구수,위도,경도
부산광역시 남구,279470,137139,142331,279033,136979,142054,278608,136759,141849,278497,136659,141838,278632,136689,141943,278270,136489,141781,277824,136214,141610,277205,135933,141272,276583,135612,140971,275792,135224,140568,275041,134842,140199,274480,134519,139961,35.1367524,129.0844303
부산광역시 북구,296292,146913,149379,295517,146587,148930,294651,146113,148538,293971,145779,148192,293362,145440,147922,292843,145209,147634,292387,144934,147453,291787,144650,147137,291452,144462,146990,291131,144290,146841,291337,144356,146981,291132,144229,146903,35.19746596,128.9902986
부산광역시 해운대구,409167,197725,211442,409032,197619,211413,408770,197468,211302,408384,197166,211218,408026,196965,211061,407560,196743,210817,407104,196525,210579,406627,196269,210358,406315,196126,210189,406058,195976,210082,406204,196018,210186,406102,195960,210142,35.16335254,129.1638847
부산광역시 사하구,326968,163301,163667,326061,162829,163232,325726,162645,163081,325166,162340,162826,324661,162086,162575,324330,161915,162415,324023,161731,162292,323430,161401,162029,322906,161132,161774,322333,160780,161553,321858,160539,161319,321004,160101,160903,35.1045808,128.9749752
부산광역시 금정구,242459,118974,123485,242447,118909,123538,242200,118782,123418,241986,118639,123347,241793,118487,123306,241488,118345,123143,241177,118178,122999,240880,118039,122841,240494,117810,122684,239837,117452,122385,239459,117255,122204,239062,117070,121992,35.2430003,129.0921739
부산광역시 강서구,123915,64021,59894,125309,64728,60581,125867,65033,60834,126333,65271,61062,126727,65446,61281,127032,65621,61411,127139,65693,61446,127422,65847,61575,127854,66056,61798,128334,66300,62034,128740,66520,62220,129566,66982,62584,35.21241036,128.9804872
부산광역시 연제구,208406,101017,107389,208637,101115,107522,208834,101163,107671,209712,101569,108143,210226,101756,108470,210011,101578,108433,209836,101507,108329,209529,101336,108193,209343,101216,108127,209503,101302,108201,209531,101368,108163,209395,101253,108142,35.17640584,129.0796413
부산광역시 수영구,176116,83751,92365,176118,83744,92374,176100,83684,92416,175744,83521,92223,175532,83422,92110,176294,83764,92530,176724,84002,92722,176777,83988,92789,176738,83927,92811,176531,83817,92714,176331,83743,92588,176148,83565,92583,35.14574351,129.1131838
부산광역시 사상구,222853,112977,109876,222315,112665,109650,222251,112569,109682,221994,112397,109597,221872,112303,109569,221317,112024,109293,220898,111779,109119,220374,111504,108870,219916,111248,108668,219303,110921,108382,218707,110610,108097,218094,110286,107808,35.15280367,128.9911898
부산광역시 기장군,164898,81590,83308,164833,81580,83253,165004,81694,83310,165024,81689,83335,165016,81696,83320,165090,81759,83331,165047,81732,83315,164989,81747,83242,165010,81766,83244,164949,81715,83234,164926,81697,83229,164716,81571,83145,35.24482811,129.2222634
대구광역시 중구,79192,38381,40811,79001,38271,40730,78831,38157,40674,78504,37997,40507,78172,37788,40384,77935,37661,40274,77858,37606,40252,77770,37555,40215,77738,37535,40203,77743,37530,40213,77659,37500,40159,77421,37384,40037,35.86947505,128.6060564
대구광역시 동구,351255,173874,177381,350609,173530,177079,350340,173306,177034,350066,173131,176935,349441,172799,176642,348825,172401,176424,348236,172072,176164,347700,171831,175869,347347,171623,175724,346834,171334,175500,346334,171088,175246,345469,170601,174868,35.88681859,128.6355584
대구광역시 서구,183777,92511,91266,183029,92069,90960,182468,91746,90722,181782,91407,90375,180870,90915,89955,179920,90419,89501,178917,89897,89020,178067,89480,88587,177384,89132,88252,176642,88747,87895,175930,88405,87525,175277,88052,87225,35.87200214,128.5592204
